Timestamp,SrcIP,DstIP,Protocol,Size,SrcPort,DstPort,Service
1777024232,192.168.22.17,8.8.27.5,ICMP,1068,1162,0,OTHER
1777024233,192.168.238.11,8.8.57.26,TCP,1349,8317,21,FTP
1777024234,192.168.60.10,8.8.62.243,ICMP,909,29012,0,OTHER
1777024235,192.168.8.20,8.8.247.38,UDP,572,25996,53,DNS
1777024236,192.168.148.209,8.8.180.78,UDP,390,2955,53,DNS
1777024237,192.168.205.95,8.8.7.242,TCP,315,11605,21,FTP
1777024238,192.168.252.81,8.8.238.15,UDP,958,514,67,DHCP
1777024239,192.168.130.161,8.8.158.116,ICMP,1402,7902,0,OTHER
1777024240,192.168.168.2,8.8.125.59,TCP,560,31014,443,HTTPS
1777024241,192.168.170.191,8.8.94.190,ICMP,243,7844,0,OTHER
1777024242,192.168.79.204,8.8.188.236,ICMP,671,5855,0,OTHER
1777024243,192.168.92.148,8.8.33.154,UDP,210,19514,53,DNS
1777024244,192.168.182.252,8.8.200.108,TCP,978,22102,443,HTTPS
1777024245,192.168.42.107,8.8.22.115,TCP,704,6659,21,FTP
1777024246,192.168.215.93,8.8.236.28,TCP,553,27353,21,FTP
1777024247,192.168.82.1,8.8.117.190,TCP,453,31376,21,FTP
1777024248,192.168.27.231,8.8.188.70,UDP,1242,13191,67,DHCP
1777024249,192.168.95.67,8.8.148.219,UDP,1183,9022,67,DHCP
1777024250,192.168.148.50,8.8.211.51,TCP,442,29916,80,HTTP
1777024251,192.168.82.34,8.8.215.81,TCP,458,31659,443,HTTPS
1777024252,192.168.60.40,8.8.121.19,ICMP,209,19862,0,OTHER
1777024253,192.168.228.118,8.8.26.45,TCP,818,8806,21,FTP
1777024254,192.168.197.70,8.8.79.176,TCP,815,29420,443,HTTPS
1777024255,192.168.98.166,8.8.6.116,ICMP,859,2959,0,OTHER
1777024256,192.168.207.3,8.8.24.84,ICMP,168,6857,0,OTHER
1777024258,192.168.135.216,8.8.36.118,ICMP,643,2783,0,OTHER
1777024259,192.168.235.42,8.8.231.178,UDP,1300,2108,67,DHCP
1777024260,192.168.66.175,8.8.38.252,TCP,267,23447,21,FTP
1777024261,192.168.102.204,8.8.71.58,ICMP,603,21737,0,OTHER
1777024262,192.168.90.145,8.8.187.108,ICMP,776,11354,0,OTHER
1777024263,192.168.59.89,8.8.211.127,TCP,875,835,443,HTTPS
1777024264,192.168.130.59,8.8.151.202,ICMP,84,27780,0,OTHER
1777024265,192.168.170.243,8.8.181.17,ICMP,1387,6257,0,OTHER
1777024266,192.168.170.176,8.8.141.65,TCP,326,12809,443,HTTPS
1777024267,192.168.16.221,8.8.56.66,ICMP,394,14188,0,OTHER
1777024268,192.168.208.119,8.8.132.211,ICMP,289,13591,0,OTHER
1777024269,192.168.42.208,8.8.239.125,ICMP,727,12562,0,OTHER
1777024270,192.168.189.236,8.8.126.221,UDP,1005,25204,67,DHCP
1777024271,192.168.82.49,8.8.79.236,ICMP,427,22873,0,OTHER
1777024272,192.168.253.12,8.8.101.102,TCP,387,5137,21,FTP
1777025862,192.168.227.183,8.8.94.254,UDP,656,22953,53,DNS
1777025863,192.168.27.123,8.8.117.209,UDP,196,15377,53,DNS
1777025864,192.168.84.11,8.8.223.194,TCP,1422,21972,443,HTTPS
1777025865,192.168.20.178,8.8.242.122,UDP,1344,13122,53,DNS
1777025866,192.168.152.77,8.8.80.44,ICMP,659,31201,0,OTHER
1777025867,192.168.172.0,8.8.5.78,UDP,1018,29089,53,DNS
1777025868,192.168.6.227,8.8.56.251,ICMP,426,15128,0,OTHER
1777025869,192.168.225.229,8.8.228.65,TCP,1418,14169,80,HTTP
1777025870,192.168.235.244,8.8.82.80,UDP,1080,20982,53,DNS
1777025871,192.168.12.112,8.8.221.206,UDP,1262,22264,67,DHCP
1777025873,192.168.151.48,8.8.166.188,UDP,802,13185,67,DHCP
1777025874,192.168.183.89,8.8.201.40,ICMP,751,27849,0,OTHER
1777025875,192.168.188.134,8.8.131.25,TCP,868,2221,443,HTTPS
1777025876,192.168.130.44,8.8.127.123,ICMP,1336,23217,0,OTHER
1777025877,192.168.183.10,8.8.198.86,UDP,401,14899,53,DNS
1777025878,192.168.180.104,8.8.201.210,TCP,257,20741,443,HTTPS
1777025879,192.168.165.182,8.8.88.237,ICMP,388,4167,0,OTHER
1777025880,192.168.131.114,8.8.195.138,UDP,356,4745,53,DNS
1777025881,192.168.125.138,8.8.210.192,UDP,688,3624,53,DNS
1777025882,192.168.132.168,8.8.201.133,ICMP,933,25765,0,OTHER
1777025883,192.168.27.229,8.8.218.249,UDP,401,866,53,DNS
1777025884,192.168.246.238,8.8.54.251,TCP,479,21687,21,FTP
1777025885,192.168.252.197,8.8.201.140,UDP,571,8940,53,DNS
1777025886,192.168.45.126,8.8.129.39,ICMP,430,27919,0,OTHER
1777025887,192.168.132.128,8.8.192.106,UDP,786,32469,53,DNS
1777025888,192.168.47.200,8.8.58.111,ICMP,1461,18905,0,OTHER
1777025889,192.168.153.203,8.8.140.86,UDP,1073,9583,67,DHCP
1777025890,192.168.123.66,8.8.244.179,UDP,318,27100,53,DNS
1777025891,192.168.50.133,8.8.81.45,UDP,1399,28776,53,DNS
1777025892,192.168.212.169,8.8.4.190,ICMP,1246,375,0,OTHER
1777025893,192.168.200.212,8.8.203.101,TCP,283,14374,80,HTTP
1777025894,192.168.30.229,8.8.126.202,UDP,147,17280,67,DHCP
1777025895,192.168.77.201,8.8.83.48,TCP,1007,17327,80,HTTP
1777025896,192.168.191.195,8.8.56.117,ICMP,983,13856,0,OTHER
1777025935,192.168.211.227,8.8.26.37,ICMP,724,21155,0,OTHER
1777025936,192.168.23.71,8.8.10.78,TCP,1329,12611,80,HTTP
1777025937,192.168.115.225,8.8.253.63,UDP,911,21463,67,DHCP
1777025938,192.168.50.9,8.8.157.195,TCP,367,4573,443,HTTPS
1777025939,192.168.244.101,8.8.85.43,UDP,247,31754,53,DNS
1777025940,192.168.226.119,8.8.226.216,ICMP,632,1316,0,OTHER
1777025941,192.168.124.5,8.8.218.43,TCP,965,28902,21,FTP
1777025942,192.168.74.94,8.8.192.42,TCP,426,4197,21,FTP
1777025943,192.168.233.154,8.8.137.212,UDP,896,9447,53,DNS
1777025944,192.168.24.53,8.8.84.49,ICMP,1188,9018,0,OTHER
1777025945,192.168.251.65,8.8.101.179,TCP,711,28777,21,FTP
1777025946,192.168.65.224,8.8.99.150,UDP,829,5782,53,DNS
1777025947,192.168.210.149,8.8.212.179,UDP,1299,17006,67,DHCP
1777025948,192.168.156.52,8.8.145.194,ICMP,1149,13991,0,OTHER
1777025950,192.168.173.58,8.8.164.125,UDP,64,19321,67,DHCP
1777025951,192.168.137.61,8.8.102.33,UDP,993,20258,53,DNS
1777025952,192.168.166.99,8.8.218.222,ICMP,1189,2968,0,OTHER
1777025953,192.168.10.167,8.8.208.119,UDP,517,4895,53,DNS
1777025954,192.168.72.137,8.8.35.57,TCP,786,24479,443,HTTPS
1777025955,192.168.81.109,8.8.252.119,UDP,75,19370,67,DHCP
1777025956,192.168.55.231,8.8.21.104,ICMP,1146,17241,0,OTHER
1777025957,192.168.86.117,8.8.110.4,TCP,178,32415,443,HTTPS
1777025958,192.168.87.224,8.8.51.31,ICMP,258,10938,0,OTHER
1777025959,192.168.196.245,8.8.28.124,TCP,652,31778,443,HTTPS
1777025960,192.168.76.76,8.8.228.243,ICMP,1096,2536,0,OTHER
1777025961,192.168.25.191,8.8.254.55,ICMP,888,23094,0,OTHER
1777025962,192.168.251.203,8.8.97.50,TCP,232,21870,21,FTP
1777025963,192.168.145.96,8.8.247.137,UDP,875,15112,53,DNS
1777025964,192.168.178.161,8.8.152.78,TCP,91,7792,443,HTTPS
1777025965,192.168.50.131,8.8.160.147,ICMP,1407,19513,0,OTHER
1777025966,192.168.211.73,8.8.219.167,ICMP,799,4771,0,OTHER
1777025967,192.168.126.79,8.8.204.253,ICMP,340,31761,0,OTHER
1777025968,192.168.220.105,8.8.58.194,TCP,1191,32223,80,HTTP
1777025969,192.168.196.252,8.8.82.16,ICMP,1013,18784,0,OTHER
1777025970,192.168.112.67,8.8.70.229,TCP,1072,2657,21,FTP
1777025971,192.168.118.168,8.8.24.82,TCP,362,18711,80,HTTP
1777025972,192.168.79.30,8.8.62.19,ICMP,1147,27721,0,OTHER
1777025973,192.168.158.1,8.8.41.128,UDP,77,13905,53,DNS
1777025974,192.168.207.96,8.8.21.210,TCP,326,24662,80,HTTP
1777025975,192.168.234.108,8.8.223.203,ICMP,1170,15367,0,OTHER
1777025976,192.168.200.235,8.8.86.102,ICMP,537,24692,0,OTHER
1777025977,192.168.138.52,8.8.11.250,TCP,266,4465,21,FTP
1777025978,192.168.104.49,8.8.44.33,TCP,431,26899,443,HTTPS
1777025979,192.168.237.105,8.8.23.71,ICMP,1324,32520,0,OTHER
1777025980,192.168.72.120,8.8.97.220,ICMP,947,18640,0,OTHER
1777025981,192.168.202.98,8.8.94.212,ICMP,1023,21633,0,OTHER
1777025982,192.168.60.130,8.8.204.121,UDP,1405,25182,53,DNS
1777025983,192.168.124.126,8.8.164.90,TCP,120,30188,80,HTTP
1777025984,192.168.233.231,8.8.180.25,UDP,189,8202,53,DNS
1777025985,192.168.227.108,8.8.94.111,TCP,846,9302,80,HTTP
1777025986,192.168.38.52,8.8.109.139,TCP,584,20066,21,FTP
1777025987,192.168.182.146,8.8.117.200,UDP,211,15924,67,DHCP
1777025988,192.168.106.9,8.8.71.53,TCP,1414,1222,80,HTTP
